Episodio,Recompensa_Promedio,Desviacion_Estandar
0.000000000000000000e+00,-9.523774202416058543e+00,1.196326546302017846e-02
1.000000000000000000e+01,-9.507725976355896336e+00,2.012816911846293522e-03
2.000000000000000000e+01,-9.485482045115094962e+00,1.139618246358686804e-02
3.000000000000000000e+01,-9.505504323598341188e+00,2.649856736476330354e-03
4.000000000000000000e+01,-9.487327521450971801e+00,9.661706802956082640e-03
5.000000000000000000e+01,-9.501018449485233219e+00,3.417044989615813932e-02
6.000000000000000000e+01,-9.505872622818309026e+00,7.224846014350916334e-04
7.000000000000000000e+01,-9.514725538708660224e+00,1.612721111536341567e-02
8.000000000000000000e+01,-9.484500217988941273e+00,1.431609096416863736e-02
9.000000000000000000e+01,-9.482247397671459410e+00,3.795427888622526780e-02
1.000000000000000000e+02,-9.501307035112869670e+00,1.411484930314887976e-02
1.100000000000000000e+02,-9.499152907816425184e+00,9.245047569628184192e-05
1.200000000000000000e+02,-9.504636342617441613e+00,1.282596795082824315e-02
1.300000000000000000e+02,-9.499338449206572221e+00,7.877557129864598551e-03
1.400000000000000000e+02,-9.501349908476807826e+00,1.107594979541381974e-02
1.500000000000000000e+02,-9.522941535024312287e+00,1.120189071263411051e-02
1.600000000000000000e+02,-9.501885468517787814e+00,1.962938107168010760e-02
1.700000000000000000e+02,-9.502651055310352035e+00,9.230617294587517563e-03
1.800000000000000000e+02,-9.482955911505234425e+00,1.288919507233643458e-03
1.900000000000000000e+02,-9.506696893373955959e+00,6.836884572524404291e-03
2.000000000000000000e+02,-9.506277907800612326e+00,2.872676810382213120e-02
2.100000000000000000e+02,-9.504889859220067905e+00,2.292273472600658835e-02
2.200000000000000000e+02,-9.489191118706889583e+00,4.914020162731347341e-03
2.300000000000000000e+02,-9.493790861497293676e+00,1.789015045451947117e-02
2.400000000000000000e+02,-9.487129343289314676e+00,8.589383925156290900e-03
2.500000000000000000e+02,-9.487171535479269835e+00,4.236414176038927337e-03
2.600000000000000000e+02,-9.491387860551107281e+00,2.006183824555574091e-02
2.700000000000000000e+02,-9.492182267705013388e+00,1.927693919613382434e-02
2.800000000000000000e+02,-9.508970039057796697e+00,1.329734498695334111e-02
2.900000000000000000e+02,-9.505546895070928315e+00,3.578547233971551833e-02
3.000000000000000000e+02,-9.485208556198143626e+00,1.180016786692661412e-03
3.100000000000000000e+02,-9.501494946429424715e+00,1.818262312472640474e-02
3.200000000000000000e+02,-9.497557946488498715e+00,1.058921228127118752e-02
3.300000000000000000e+02,-9.492299192565539556e+00,6.977391690708323324e-03
3.400000000000000000e+02,-9.503046716017427897e+00,6.692437471572887375e-03
3.500000000000000000e+02,-9.489078727560620763e+00,4.289235251889955691e-03
3.600000000000000000e+02,-9.492659441113964647e+00,1.428310750601369250e-02
3.700000000000000000e+02,-9.502366788280872001e+00,1.262762173869447224e-02
3.800000000000000000e+02,-9.455148453195867830e+00,4.919813623016189297e-03
3.900000000000000000e+02,-9.499492062963867056e+00,1.204868619619237080e-02
4.000000000000000000e+02,-9.495395622928283430e+00,1.744617515740998215e-02
4.100000000000000000e+02,-9.508626855287056756e+00,1.475530163476612699e-02
4.200000000000000000e+02,-9.504044067878247404e+00,2.904296828480923409e-04
4.300000000000000000e+02,-9.519695414246013954e+00,4.661188763817492031e-03
4.400000000000000000e+02,-9.494453405877845142e+00,1.169101447333531496e-02
4.500000000000000000e+02,-9.512073713750151427e+00,1.214370648117579776e-02
4.600000000000000000e+02,-9.501827324105562411e+00,2.204626611241167211e-02
4.700000000000000000e+02,-9.503744721729828981e+00,5.982463914939728511e-04
4.800000000000000000e+02,-9.512183954169337596e+00,2.770685758104463048e-03
4.900000000000000000e+02,-9.479511098208114106e+00,1.367359566288239847e-02
5.000000000000000000e+02,-9.470689311719391767e+00,5.919062959870657892e-03
5.100000000000000000e+02,-9.490949957785169033e+00,1.674769014294597014e-02
5.200000000000000000e+02,-9.495141388625746970e+00,1.539547976105115623e-02
5.300000000000000000e+02,-9.488623307533988083e+00,3.745107027897098817e-03
5.400000000000000000e+02,-9.484122894132369197e+00,9.140037961222979845e-03
5.500000000000000000e+02,-9.514692311229378419e+00,2.135112599678112844e-02
5.600000000000000000e+02,-9.488469454755406929e+00,8.570654377892950038e-04
5.700000000000000000e+02,-9.482239269535597259e+00,7.866616675089588284e-04
5.800000000000000000e+02,-9.504405887585543056e+00,8.672105741952762514e-03
5.900000000000000000e+02,-9.509342935389964779e+00,1.306718561766118114e-03
6.000000000000000000e+02,-9.496835692086481373e+00,7.716406065751968413e-04
6.100000000000000000e+02,-9.478599890471112843e+00,1.395817067686611068e-02
6.200000000000000000e+02,-9.485409910301459746e+00,2.460474819588220896e-03
6.300000000000000000e+02,-9.511537928156290178e+00,4.486426253613728932e-05
6.400000000000000000e+02,-9.506431080923579913e+00,2.245614033711262891e-03
6.500000000000000000e+02,-9.502134316996937002e+00,1.437974947177256269e-02
6.600000000000000000e+02,-9.518941411126743191e+00,1.127327817328271919e-02
6.700000000000000000e+02,-9.502493658557964906e+00,1.280960927091179258e-02
6.800000000000000000e+02,-9.500671508025485323e+00,2.450129139505818898e-03
6.900000000000000000e+02,-9.494513247868695771e+00,4.446453354137958058e-03
7.000000000000000000e+02,-9.520064092762861918e+00,2.063755173274905985e-02
7.100000000000000000e+02,-9.480793979084193523e+00,1.381997974765081239e-02
7.200000000000000000e+02,-9.475263199936417635e+00,2.592882094655468705e-02
7.300000000000000000e+02,-9.501804016119464791e+00,1.434017546024790590e-02
7.400000000000000000e+02,-9.506933299128728976e+00,6.306754902632327742e-03
7.500000000000000000e+02,-9.481836444782693718e+00,1.608012369357592064e-02
7.600000000000000000e+02,-9.514931441400488410e+00,1.215350074335930231e-02
7.700000000000000000e+02,-9.502403749697267088e+00,1.275072922253706054e-02
7.800000000000000000e+02,-9.496466899188806821e+00,1.303081451005727587e-02
7.900000000000000000e+02,-9.510908041788308509e+00,4.848308637018128309e-03
8.000000000000000000e+02,-9.500181787380750364e+00,7.294976684584675297e-03
8.100000000000000000e+02,-9.509519304511456994e+00,8.057197143731542610e-03
8.200000000000000000e+02,-9.516516548424641897e+00,3.302695930731402996e-04
8.300000000000000000e+02,-9.499049084249563180e+00,2.273048322573334445e-02
8.400000000000000000e+02,-9.486490042171418224e+00,7.017061098904875394e-03
8.500000000000000000e+02,-9.496168014343943753e+00,2.368351479704600138e-04
8.600000000000000000e+02,-9.503366080734853227e+00,6.549049812065277365e-03
8.700000000000000000e+02,-9.492330085077590240e+00,9.528133417828321683e-03
8.800000000000000000e+02,-9.500827342210143911e+00,1.396171164516157859e-02
8.900000000000000000e+02,-9.506458860410315737e+00,2.340084513832163537e-02
9.000000000000000000e+02,-9.476842410098926806e+00,2.438315125671053352e-03
9.100000000000000000e+02,-9.482628189866655788e+00,4.549738554691096226e-03
9.200000000000000000e+02,-9.502613149042865359e+00,2.033547164264515317e-02
9.300000000000000000e+02,-9.494686830262409671e+00,5.059019343701010030e-03
9.400000000000000000e+02,-9.499615482060766780e+00,1.100957183815332030e-02
9.500000000000000000e+02,-9.509041629866757717e+00,1.290562930233640770e-02
9.600000000000000000e+02,-9.507654521765093847e+00,1.466535191774998026e-02
9.700000000000000000e+02,-9.498385416871345299e+00,1.545520494207153206e-02
9.800000000000000000e+02,-9.487985353436453551e+00,6.721289222711313016e-03
9.900000000000000000e+02,-9.510661042044546321e+00,1.159973385023693737e-02
1.000000000000000000e+03,-9.523582724959823054e+00,1.921835278142047798e-03
1.010000000000000000e+03,-9.494138512537688257e+00,6.118813259315736275e-03
