episode,reward,episode_length,timestep,reward_ma_50,reward_ma_100
1,-988.628913,29,29,-988.628913,-988.628913
2,-982.709887,58,87,-985.6694,-985.6694
3,-986.322655,33,120,-985.8871516666667,-985.8871516666667
4,-989.412906,41,161,-986.76859025,-986.76859025
5,-986.008235,39,200,-986.6165192000001,-986.6165192000001
6,-991.189785,24,224,-987.3787301666666,-987.3787301666666
7,-987.750983,26,250,-987.4319091428572,-987.4319091428572
8,-986.395763,34,284,-987.302390875,-987.302390875
9,-989.31876,27,311,-987.5264318888889,-987.5264318888889
10,-887.142244,25,336,-977.4880131,-977.4880131
11,-985.886182,26,362,-978.251483,-978.251483
12,-988.361345,28,390,-979.0939715,-979.0939715
13,-889.223107,31,421,-972.180828076923,-972.180828076923
14,-883.80968,29,450,-965.8686032142857,-965.8686032142857
15,-992.642266,24,474,-967.6535140666667,-967.6535140666667
16,-989.80177,22,496,-969.0377800625,-969.0377800625
17,-987.41382,27,523,-970.1187235882353,-970.1187235882353
18,-984.79371,31,554,-970.9340006111112,-970.9340006111112
19,-890.965054,23,577,-966.7251086842105,-966.7251086842105
20,-892.03491,21,598,-962.99059875,-962.99059875
21,-988.73532,39,637,-964.2165378571428,-964.2165378571428
22,-985.230173,34,671,-965.1717030909091,-965.1717030909091
23,-985.516072,28,699,-966.0562408695652,-966.0562408695652
24,-989.879166,26,725,-967.04886275,-967.04886275
25,-984.932836,41,766,-967.76422168,-967.76422168
26,-992.00763,22,788,-968.6966604615385,-968.6966604615385
27,-989.596433,21,809,-969.4707261111112,-969.4707261111112
28,-887.091488,23,832,-966.5286104642857,-966.5286104642857
29,-991.355562,24,856,-967.3847122413792,-967.3847122413792
30,-883.520007,32,888,-964.5892220666667,-964.5892220666667
31,-988.110732,25,913,-965.3479804516129,-965.3479804516129
32,-989.640439,26,939,-966.10711978125,-966.10711978125
33,-489.938119,32,971,-951.6777561212122,-951.6777561212122
34,-989.253086,22,993,-952.782912882353,-952.782912882353
35,-990.275456,27,1020,-953.8541284,-953.8541284
36,-989.796614,23,1043,-954.8525307777777,-954.8525307777777
37,-989.422301,27,1070,-955.7868488918919,-955.7868488918919
38,-987.843976,26,1096,-956.6304575,-956.6304575
39,-990.547916,27,1123,-957.5001359230769,-957.5001359230769
40,-989.313127,21,1144,-958.2954606999999,-958.2954606999999
41,-484.728249,36,1180,-946.745040902439,-946.745040902439
42,-986.945049,26,1206,-947.702183952381,-947.702183952381
43,-981.985601,40,1246,-948.4994727209303,-948.4994727209303
44,-991.854945,21,1267,-949.4848243636363,-949.4848243636363
45,-983.698513,44,1311,-950.2451285555557,-950.2451285555557
46,-488.293225,31,1342,-940.2026958695651,-940.2026958695651
47,-990.255223,22,1364,-941.2676432553191,-941.2676432553191
48,-890.822074,22,1386,-940.2166938958334,-940.2166938958334
49,-986.802227,31,1417,-941.1674190612245,-941.1674190612245
50,-890.570433,23,1440,-940.15547934,-940.15547934
51,-991.61484,22,1462,-940.21519788,-941.1644864117648
52,-990.578466,24,1486,-940.3725694600001,-942.11475525
53,-990.386625,24,1510,-940.45384886,-943.0255452452831
54,-889.780844,25,1535,-938.4612076200001,-942.0395322592593
55,-987.670391,24,1559,-938.49445074,-942.8691842363637
56,-889.635814,21,1580,-936.46337132,-941.9185883392857
57,-988.128089,24,1604,-936.47091344,-942.7292813333333
58,-888.421303,22,1626,-934.51142424,-941.7929368793104
59,-990.629273,18,1644,-934.5376345,-942.6206713898306
60,-991.153588,20,1664,-936.6178613800001,-943.4295533333334
61,-493.004222,20,1684,-926.76022218,-936.0455315081967
62,-991.813981,21,1705,-926.8292749,-936.9450226290322
63,-888.678463,20,1725,-926.81838202,-936.1788867619048
64,-987.11213,23,1748,-928.8844310199999,-936.9747186875
65,-992.038207,18,1766,-928.8723498400001,-937.8218492769231
66,-987.174427,25,1791,-928.81980298,-938.5696156060606
67,-988.925346,21,1812,-928.8500335000001,-939.3211936716418
68,-992.247834,21,1833,-928.9991159799999,-940.099526617647
69,-888.929119,24,1857,-928.9583972799999,-939.3579265072464
70,-990.382368,19,1876,-930.92534644,-940.0868471
71,-989.210844,21,1897,-930.93485692,-940.7787343802818
72,-990.502693,26,1923,-931.04030732,-941.4693449166667
73,-989.656389,29,1952,-931.1231136600001,-942.129441410959
74,-989.496581,21,1973,-931.1154619600001,-942.7695378918919
75,-991.992104,26,1999,-931.2566473200001,-943.4258387733335
76,-990.936092,19,2018,-931.2352165600001,-944.0509736842105
77,-991.050697,20,2038,-931.2643018399999,-944.6613597012986
78,-786.77953,23,2061,-929.25806268,-942.6372336794872
79,-986.383235,29,2090,-929.15861614,-943.1909805316456
80,-986.268192,23,2113,-931.21357984,-943.729445675
81,-987.669653,24,2137,-931.2047582600001,-944.2719173703704
82,-987.832787,23,2160,-931.16860522,-944.8031474878048
83,-988.217342,25,2185,-941.13418968,-945.3262100722892
84,-988.456595,26,2211,-941.1182598600001,-945.8396670357142
85,-988.775179,24,2235,-941.08825432,-946.3447907058824
86,-988.922659,24,2259,-941.0707752200001,-946.8398821976745
87,-993.046355,25,2284,-941.1432563000001,-947.3709910804598
88,-888.638448,31,2315,-939.15914574,-946.7035758181818
89,-991.092478,26,2341,-939.17003698,-947.20232752809
90,-788.095357,25,2366,-935.1456815800001,-945.4344723
91,-985.104511,24,2390,-945.15320682,-945.8704067912088
92,-991.041915,25,2415,-945.2351441400001,-946.3614014456522
93,-888.410123,26,2441,-943.36363458,-945.7382694193549
94,-990.627642,25,2466,-943.3390885200001,-946.2158159361702
95,-987.048103,25,2491,-943.4060803199999,-946.6456294842105
96,-984.368185,25,2516,-953.3275795200002,-947.0385727708334
97,-989.169289,25,2541,-953.3058608400002,-947.4729100515464
98,-989.971087,24,2565,-955.2888411,-947.9065649183674
99,-989.195717,24,2589,-955.3367109000001,-948.323627060606
100,-992.598464,24,2613,-957.3772715199999,-948.76637543
101,-990.793222,23,2636,-957.3608391599998,-948.78801852
102,-989.614974,24,2660,-957.34156932,-948.85706939
103,-890.709669,23,2683,-955.3480301999999,-947.9009395300001
104,-791.545911,24,2707,-953.38333154,-945.92226958
105,-987.39625,25,2732,-953.3778487200001,-945.93614973
106,-992.632099,24,2756,-955.4377744199999,-945.9505728700001
107,-988.415109,24,2780,-955.44351482,-945.95721413
108,-886.615947,24,2804,-955.4074076999999,-944.95941597
109,-888.488494,24,2828,-953.36459212,-943.9511133100001
110,-990.214336,24,2852,-953.34580708,-944.9818342300001
111,-991.795001,25,2877,-963.32162266,-945.04092242
112,-991.388144,24,2901,-963.3131059200001,-945.07119041
113,-990.792943,24,2925,-965.35539552,-946.0868887700001
114,-986.731233,24,2949,-965.3477775800001,-947.1161043
115,-990.68902,24,2973,-965.32079384,-947.0965718400001
116,-989.808801,23,2996,-965.37348132,-947.09664215
117,-987.683397,25,3021,-965.34864234,-947.0993379199999
118,-988.291514,26,3047,-965.2695159400001,-947.13431596
119,-991.81589,26,3073,-967.3272513600001,-948.1428243199999
120,-787.149614,24,3097,-963.2625962800001,-947.09397136
121,-989.145491,27,3124,-963.26128922,-947.09807307
122,-989.042126,26,3150,-963.23207788,-947.1361926000001
123,-889.206995,24,3174,-961.22309,-946.1731018300001
124,-987.493844,24,3198,-961.1830352599999,-946.1492486100001
125,-987.451178,26,3224,-961.09221674,-946.17443203
126,-986.552661,25,3249,-961.00454812,-946.11988234
127,-989.714988,27,3276,-960.97783394,-946.12106789
128,-992.83185,25,3301,-965.09888034,-947.1784715099999
129,-888.141667,25,3326,-963.13404898,-946.14633256
130,-987.93513,27,3353,-963.16738774,-947.19048379
131,-984.644202,25,3378,-963.1068787199999,-947.15581849
132,-986.548831,33,3411,-963.0811996,-947.1249024100001
133,-989.100921,26,3437,-963.09887118,-952.1165304300001
134,-991.019893,25,3462,-963.15013714,-952.1341984999999
135,-990.645424,24,3486,-963.1875420399999,-952.1378981800001
136,-989.11758,26,3512,-963.19144046,-952.13110784
137,-989.08111,24,3536,-963.1121355600001,-952.1276959300001
138,-988.214908,24,3560,-965.1036647599999,-952.13140525
139,-986.007153,25,3585,-965.0019582600002,-952.08599762
140,-980.883811,35,3620,-968.85772734,-952.00170446
141,-989.298495,24,3644,-968.94160702,-957.04740692
142,-983.260573,50,3694,-968.7859801799999,-957.0105621600001
143,-983.547095,45,3739,-970.68871962,-957.0261771
144,-987.83758,30,3769,-970.6329183799999,-956.98600345
145,-988.359869,29,3798,-970.6591537,-957.0326170100001
146,-980.880417,39,3837,-970.5893983399999,-961.95848893
147,-990.275901,24,3861,-970.6115305799999,-961.95869571
148,-891.529703,25,3886,-968.6427029,-961.965772
149,-889.401553,29,3915,-966.64681962,-960.99176526
150,-985.990291,45,3960,-966.51465616,-961.94596384
151,-981.389505,42,4002,-966.32658182,-961.84371049
152,-985.655231,35,4037,-966.24738696,-961.79447814
153,-987.623131,39,4076,-968.1856562,-961.7668432
154,-885.867449,42,4118,-970.07208696,-961.7277092500001
155,-982.767962,40,4158,-969.9795211999999,-961.6786849599999
156,-882.939878,41,4199,-967.78567678,-961.6117256000001
157,-983.586911,37,4236,-967.68911282,-961.5663138199999
158,-884.995709,36,4272,-967.6567080600001,-961.53205788
159,-985.945879,42,4314,-969.6058557599999,-961.48522394
160,-484.849189,40,4354,-959.49855282,-956.42217995
161,-987.27428,39,4393,-959.4081384,-961.36488053
162,-981.315868,46,4439,-959.2066928799999,-961.2598994
163,-988.154163,43,4482,-959.1539172799999,-962.2546563999999
164,-985.503067,38,4520,-959.12935396,-962.23856577
165,-878.671511,42,4562,-956.88900378,-961.10489881
166,-990.923931,34,4596,-956.91130638,-961.14239385
167,-978.371779,51,4647,-956.7250740200001,-961.03685818
168,-488.033864,31,4678,-946.7199210199999,-955.99471848
169,-987.016533,42,4720,-946.62393388,-956.9755926199999
170,-980.692218,59,4779,-950.4947859599998,-956.87869112
171,-979.455317,50,4829,-950.3009824799999,-956.7811358499999
172,-483.958938,38,4867,-940.1993187200001,-951.7156983
173,-878.253366,59,4926,-939.98024614,-950.60166807
