Episodio,Q-learning,Sarsa (1-step),Sarsa (8-step),Multi-goal Q-learning,Multi-goal Sarsa
1,504.81,1235.01,1716.23,521.92,581.74
2,471.87,911.46,1782.9,474.42,613.88
3,538.59,898.69,1704.17,559.42,493.96
4,480.55,866.69,1695.95,556.59,530.0
5,487.08,997.17,1641.79,516.09,566.24
6,493.56,796.53,1411.13,552.54,479.13
7,549.5,978.42,1166.27,497.63,586.14
8,462.87,740.38,1242.64,445.54,537.51
9,522.0,950.6,1201.89,490.6,488.23
10,534.66,905.13,1306.3,473.62,505.23
11,549.55,906.06,1325.28,519.96,589.46
12,517.69,843.39,1079.32,457.69,577.52
13,529.35,811.25,1230.37,540.32,481.68
14,489.18,685.73,1153.71,483.56,574.45
15,484.63,739.91,1099.46,466.43,598.49
16,503.66,737.53,1208.17,540.77,486.0
17,421.94,737.52,1437.1,489.25,553.72
18,514.09,818.32,1064.46,488.79,527.3
19,499.18,899.83,1007.43,441.1,599.58
20,504.99,741.55,1027.22,416.11,492.87
21,506.36,745.71,913.48,489.6,607.35
22,619.42,670.24,1239.76,478.05,507.58
23,457.83,751.64,1079.31,583.64,579.26
24,533.63,805.65,1190.66,542.29,479.8
25,420.6,843.34,1174.07,458.15,493.63
26,401.22,809.01,919.26,463.72,485.69
27,535.42,780.9,1121.72,506.72,549.13
28,515.26,832.08,1096.51,522.8,554.65
29,546.2,762.38,1075.42,452.72,625.45
30,518.9,835.43,1150.54,562.12,438.52
31,496.24,658.57,924.12,568.26,547.22
32,618.12,796.06,1042.46,469.53,540.26
33,500.71,816.08,998.69,522.08,489.91
34,505.96,700.87,948.79,579.91,519.43
35,514.99,783.38,1239.13,553.25,521.36
36,536.39,886.95,722.84,503.99,514.39
37,509.04,805.33,808.65,523.69,586.73
38,558.72,737.47,891.24,569.72,528.9
39,537.57,879.42,823.02,595.35,559.84
40,505.69,833.09,1051.17,492.18,542.98
41,534.98,837.8,850.33,488.5,523.72
42,572.47,846.91,912.03,513.2,510.55
43,546.95,802.89,833.8,487.65,538.94
44,529.09,727.71,947.55,473.66,576.16
45,496.38,762.25,924.41,513.21,505.5
46,565.33,843.32,1127.13,515.25,511.05
47,548.66,833.22,979.65,537.0,537.5
48,488.54,975.42,1126.94,612.07,463.75
49,564.06,942.99,905.43,464.86,602.17
50,526.53,728.07,849.61,544.38,397.19
51,561.0,763.48,896.69,477.81,492.22
52,447.49,720.01,828.95,577.62,524.21
53,418.94,853.25,786.31,563.14,461.78
54,498.68,700.62,723.67,552.78,525.4
55,494.21,769.5,797.61,551.15,553.02
56,514.91,868.62,771.4,496.47,562.94
57,516.88,884.54,816.14,544.27,548.61
58,529.08,757.82,800.79,435.51,443.0
59,501.19,794.24,901.02,533.2,577.1
60,534.59,683.67,768.0,522.72,480.32
