Episodio,Q-learning,Q-learning_std,Sarsa (1-step),Sarsa (1-step)_std,Sarsa (8-step),Sarsa (8-step)_std,Multi-goal Q-learning,Multi-goal Q-learning_std,Multi-goal Sarsa,Multi-goal Sarsa_std
1,528.47,412.7738958558306,1247.15,1275.9804573346726,1600.59,1687.522065603884,529.97,444.37356930852684,557.64,466.9699673426546
2,442.9,400.14968449319076,1072.56,1135.7037405943506,1371.53,1316.6714962738429,541.53,416.82632966260667,599.61,436.74548412090076
3,442.75,380.60040396720547,1123.67,1144.5485228246116,1485.53,1418.671127886939,517.22,419.6418611149274,478.45,415.0717377755318
4,584.96,446.0084510410089,808.46,1063.6382883292606,1477.56,1477.8127101903,539.82,503.72660005205205,483.36,415.65544673443173
5,504.17,411.1235350840426,743.52,809.0796806248442,1272.28,1145.885021108139,563.75,441.9984021464331,588.89,465.4927689019454
6,499.91,419.03732757357074,921.18,1036.2077241557313,1507.47,1467.7007559785475,425.01,408.02180076559637,514.64,386.0063864756643
7,509.67,475.9267182035485,924.92,902.2329486335558,1503.7,1346.260892249344,449.72,383.4060531603537,516.63,391.73707138845054
8,458.95,383.2649833992142,652.92,861.207509024393,1671.01,1428.3811780823767,501.82,455.83199492795586,432.37,466.4128354794709
9,490.13,388.5827493597727,957.82,951.0333157150701,1383.13,1267.5154251921354,520.33,419.0880827463363,581.63,461.83953176400996
10,450.35,434.3920435505237,758.44,920.6656865551143,1531.26,1402.8139265062919,496.83,471.96156739717696,578.22,505.24618909992773
11,580.79,463.16360597525346,880.46,921.2071148227199,1457.65,1405.0319524836439,511.96,446.75033116943507,519.23,474.65195364603727
12,523.11,465.11845577229036,803.2,979.2467717587841,1236.02,1363.6741471480639,520.49,452.1028753502901,417.48,398.84130879335964
13,462.0,425.4317571597118,755.6,861.113302649541,1158.59,1305.1396560904889,460.56,406.7064622058519,470.3,442.70259768833523
14,523.74,452.8856725488233,820.21,815.9002181026796,1169.49,1385.704329898698,460.23,465.11725091636833,486.01,493.9732684062974
15,536.69,380.9201936101577,847.1,955.0441403411676,1115.15,1277.211762982161,503.59,416.8826716235637,451.34,411.5120221816126
16,523.74,470.2274262524465,720.18,793.9548145832986,1335.49,1428.1830659617835,446.84,413.83314801982687,605.48,489.2348613907231
17,517.24,464.35340248565,729.0,741.7477199156059,1187.59,1215.4456063107064,532.9,477.47300447250416,557.33,528.8711384638038
18,530.26,466.4161150732251,792.13,791.7625863224407,1351.89,1480.146086675231,507.87,423.5132029819141,496.73,479.64275987447144
19,599.04,532.920818133426,799.99,909.6893700049484,1141.43,1197.6527982265982,457.54,412.1198956614447,481.5,470.91308115192555
20,480.93,409.5461452632658,763.13,893.9140412254413,1094.21,1414.7805999164675,532.37,445.57461002619976,550.07,459.9908532786277
21,402.04,380.0999584319893,823.39,782.2324321453311,1112.98,1040.1430668903195,488.33,432.68963599790567,504.13,395.907227895627
22,488.75,460.1496142560591,711.84,783.8706745375796,1000.66,1162.3472563739288,513.1,493.45035211255043,469.94,479.9459098690183
23,434.79,445.557230779616,687.09,756.4098769185923,995.74,1156.198976128244,540.98,417.2373420488631,461.95,429.1806000974413
24,429.49,428.9964217799491,800.62,792.6830991007693,1132.18,1195.494361174489,506.24,432.84792063726036,571.47,558.9296101478254
25,545.83,496.9699599573399,724.54,889.2476192827281,1093.31,1136.4342981008626,484.74,408.367790600581,523.58,494.7719106820839
26,544.56,516.7975681057331,856.3,999.5200998479222,1005.38,1163.2732334236873,492.94,439.2969114391769,552.42,527.3776290287633
27,529.68,455.9516614730119,834.3,904.8106597515307,1208.36,1093.5814329074906,470.06,463.7931827873282,527.93,460.49254619374676
28,534.02,461.2743864556106,712.63,598.8364493749524,1205.34,1342.1569745748818,471.36,504.54915558347733,581.16,548.5791231900828
29,483.12,448.28986783107194,803.79,738.1092100089254,916.68,1056.7735129156106,537.03,493.2053214433113,523.57,504.6190296649542
30,532.88,458.6222907796785,723.13,848.0481667334702,1169.69,1271.948408505628,442.4,442.5175024787156,560.41,496.32793785963736
31,500.96,503.65378823155896,781.88,837.5101346252472,953.57,1016.6136459343834,568.39,531.3902124616146,496.44,494.96891457949147
32,487.56,497.02817465411357,712.74,725.862240649009,945.75,1117.0883525934732,628.3,582.4351380196766,574.8,534.4518313187822
33,532.39,488.9739848908119,841.07,816.8120133176299,892.41,1016.9612096338781,527.41,448.62153526107056,455.92,439.0945838882553
34,525.65,461.6660995784724,613.11,678.5382656121907,1050.24,1162.313642008903,463.01,497.94637251414946,416.93,403.82427502566014
35,458.82,444.9329697830899,824.63,883.5939639336611,786.31,881.484755341804,607.41,525.448324671418,430.38,471.4868774419922
36,606.68,526.7986689428894,868.94,837.310764531306,843.68,1007.1195349113235,562.97,434.675245556956,495.84,467.41225315560575
37,504.26,485.5200638490649,747.11,698.94538978378,919.21,1054.7621371190758,546.26,400.7440235362219,468.08,417.30640253894984
38,533.16,452.32036699666753,902.33,812.0523019485875,968.82,1017.5047457383182,475.28,486.87244900487025,442.49,480.1672520070479
39,575.97,524.0858222657814,848.69,823.9515361354695,856.14,987.9582584299804,470.44,508.8943961177016,538.99,503.11011707179966
40,594.59,556.7019866140231,734.62,666.7676773809601,1054.55,1212.3340742138696,572.72,475.2100394562387,463.53,464.9592983262083
41,530.65,494.6363992873959,756.97,695.7270650909019,1123.22,1381.8268891579723,606.32,509.72770927231346,400.38,391.3193524475885
42,586.73,498.14421315518655,705.83,732.3691153373413,990.15,1034.204306459802,457.75,425.8410354815515,604.36,512.9621334952512
