Episodio,Q_learning,SARSA,16_step_SARSA
1,283.9,295.1666666666667,945.8333333333334
2,131.1,116.16666666666667,965.1
3,172.3,86.8,868.1666666666666
4,83.16666666666667,140.13333333333333,574.7
5,199.33333333333334,182.7,949.0666666666667
6,183.76666666666668,129.93333333333334,866.4
7,226.7,215.73333333333332,898.7666666666667
8,174.13333333333333,106.33333333333333,653.2
9,251.7,229.06666666666666,675.4666666666667
10,190.66666666666666,159.7,680.0
11,178.96666666666667,117.46666666666667,618.7333333333333
12,160.9,178.86666666666667,604.0333333333333
13,154.3,94.63333333333334,582.8666666666667
14,129.8,121.96666666666667,571.7
15,167.93333333333334,122.93333333333334,385.53333333333336
16,156.56666666666666,139.96666666666667,403.6333333333333
17,148.86666666666667,126.8,277.6333333333333
18,141.66666666666666,126.13333333333334,344.3666666666667
19,165.76666666666668,145.23333333333332,276.8666666666667
20,171.4,192.4,302.73333333333335
21,130.6,126.76666666666667,199.46666666666667
22,131.6,119.26666666666667,243.4
23,116.93333333333334,118.53333333333333,239.76666666666668
24,165.56666666666666,118.7,340.46666666666664
25,177.9,165.83333333333334,178.16666666666666
26,134.36666666666667,117.46666666666667,140.83333333333334
27,157.53333333333333,110.06666666666666,132.86666666666667
28,155.06666666666666,119.66666666666667,74.0
29,133.46666666666667,102.8,90.5
30,136.9,137.1,104.83333333333333
31,130.96666666666667,107.8,50.03333333333333
32,148.33333333333334,167.8,102.4
33,149.63333333333333,127.93333333333334,58.833333333333336
34,162.4,114.43333333333334,79.43333333333334
35,162.66666666666666,105.43333333333334,43.5
36,147.56666666666666,97.7,38.8
37,130.46666666666667,123.13333333333334,74.8
38,161.2,126.26666666666667,43.9
39,153.73333333333332,109.33333333333333,63.1
40,163.83333333333334,150.56666666666666,93.13333333333334
41,177.3,136.96666666666667,44.266666666666666
42,125.66666666666667,103.36666666666666,42.0
43,138.2,128.3,54.63333333333333
44,151.23333333333332,140.06666666666666,46.1
45,168.43333333333334,129.9,83.7
46,128.26666666666668,100.23333333333333,42.93333333333333
47,131.1,119.26666666666667,53.63333333333333
48,131.73333333333332,111.46666666666667,59.333333333333336
49,131.8,86.73333333333333,56.93333333333333
50,163.26666666666668,109.9,54.4
51,152.26666666666668,136.1,44.63333333333333
52,156.2,107.13333333333334,50.7
53,131.16666666666666,112.0,48.766666666666666
54,127.23333333333333,133.9,72.83333333333333
55,162.76666666666668,103.4,46.7
56,136.73333333333332,103.33333333333333,63.166666666666664
57,132.3,140.13333333333333,46.6
58,141.13333333333333,121.8,88.8
59,141.1,121.4,44.4
60,161.26666666666668,114.06666666666666,38.96666666666667
61,148.33333333333334,117.96666666666667,61.733333333333334
62,175.23333333333332,118.8,40.166666666666664
63,163.26666666666668,126.26666666666667,39.56666666666667
64,159.3,118.7,54.13333333333333
65,167.33333333333334,108.16666666666667,41.56666666666667
66,123.36666666666666,97.33333333333333,55.56666666666667
67,125.23333333333333,125.63333333333334,35.733333333333334
68,159.23333333333332,102.63333333333334,45.8
69,204.46666666666667,104.23333333333333,37.2
70,131.8,115.96666666666667,42.166666666666664
71,111.0,87.23333333333333,35.166666666666664
72,141.23333333333332,102.2,38.1
73,154.9,106.3,34.13333333333333
74,158.93333333333334,108.73333333333333,33.06666666666667
75,130.16666666666666,134.33333333333334,34.03333333333333
76,148.16666666666666,84.03333333333333,36.63333333333333
77,171.56666666666666,124.33333333333333,41.9
78,127.06666666666666,124.9,36.56666666666667
79,159.9,132.26666666666668,38.96666666666667
80,140.3,98.66666666666667,42.666666666666664
81,154.96666666666667,99.3,34.96666666666667
82,156.56666666666666,122.23333333333333,37.766666666666666
83,169.73333333333332,97.5,34.766666666666666
84,180.86666666666667,112.93333333333334,33.666666666666664
85,138.83333333333334,117.73333333333333,35.2
86,146.86666666666667,114.13333333333334,39.56666666666667
87,175.7,91.06666666666666,34.36666666666667
88,175.9,148.96666666666667,35.266666666666666
89,154.1,136.13333333333333,36.2
90,141.96666666666667,150.3,33.766666666666666
91,128.06666666666666,123.63333333333334,41.1
92,159.0,154.93333333333334,37.4
93,139.8,115.56666666666666,38.233333333333334
94,113.63333333333334,126.0,37.3
95,154.2,101.4,42.5
96,162.5,122.83333333333333,35.6
97,149.2,148.46666666666667,33.8
98,163.8,114.53333333333333,33.7
99,167.36666666666667,108.9,38.0
100,153.66666666666666,112.66666666666667,43.36666666666667
101,146.63333333333333,146.83333333333334,36.666666666666664
102,141.7,102.63333333333334,39.7
103,159.1,98.3,37.86666666666667
104,164.3,120.06666666666666,38.0
105,153.06666666666666,125.46666666666667,35.4
106,137.7,117.93333333333334,34.666666666666664
107,172.73333333333332,124.16666666666667,33.43333333333333
108,174.43333333333334,111.13333333333334,36.733333333333334
109,148.5,126.06666666666666,39.6
110,138.96666666666667,121.46666666666667,41.43333333333333
111,139.23333333333332,111.53333333333333,34.53333333333333
112,179.23333333333332,123.4,42.53333333333333
113,178.16666666666666,120.43333333333334,40.266666666666666
114,149.1,101.26666666666667,35.93333333333333
115,133.5,113.6,34.63333333333333
116,178.83333333333334,115.1,40.03333333333333
117,169.36666666666667,178.0,34.5
118,162.73333333333332,118.36666666666666,49.93333333333333
119,153.96666666666667,142.53333333333333,38.9
120,144.66666666666666,97.0,35.266666666666666
121,153.2,116.33333333333333,42.53333333333333
122,170.13333333333333,96.03333333333333,38.666666666666664
123,179.06666666666666,144.33333333333334,36.53333333333333
124,176.43333333333334,121.43333333333334,35.43333333333333
125,158.83333333333334,131.96666666666667,34.0
126,157.2,124.53333333333333,43.833333333333336
127,141.46666666666667,126.13333333333334,36.833333333333336
128,180.03333333333333,163.43333333333334,34.36666666666667
129,190.93333333333334,133.43333333333334,34.86666666666667
130,175.3,109.9,35.93333333333333
131,179.8,124.4,36.36666666666667
132,150.3,116.9,42.0
133,118.9,126.3,38.2
134,168.93333333333334,106.86666666666666,35.1
135,130.7,155.06666666666666,36.53333333333333
136,161.7,112.5,37.93333333333333
137,124.96666666666667,127.86666666666666,39.13333333333333
138,156.7,115.73333333333333,35.06666666666667
139,151.06666666666666,133.9,41.96666666666667
140,132.1,137.86666666666667,38.233333333333334
141,186.4,158.66666666666666,37.733333333333334
142,178.0,132.46666666666667,37.3
143,151.0,145.76666666666668,35.86666666666667
144,178.46666666666667,129.16666666666666,33.86666666666667
145,165.0,121.33333333333333,36.13333333333333
146,125.7,125.66666666666667,35.86666666666667
147,147.06666666666666,158.36666666666667,38.2
148,149.86666666666667,134.33333333333334,38.06666666666667
149,184.5,148.06666666666666,41.36666666666667
150,150.43333333333334,135.93333333333334,35.56666666666667
151,157.96666666666667,135.2,34.63333333333333
152,208.13333333333333,126.0,42.13333333333333
153,207.0,138.7,38.46666666666667
154,148.13333333333333,149.16666666666666,35.93333333333333
155,166.6,117.5,41.333333333333336
156,183.9,158.56666666666666,35.9
157,148.9,119.46666666666667,35.266666666666666
158,176.1,172.66666666666666,41.833333333333336
159,181.4,128.33333333333334,35.333333333333336
160,162.9,140.46666666666667,41.3
161,217.36666666666667,159.0,34.43333333333333
162,148.03333333333333,126.73333333333333,37.8
163,149.56666666666666,126.96666666666667,34.0
164,160.16666666666666,121.26666666666667,35.96666666666667
165,149.96666666666667,150.6,38.56666666666667
166,167.63333333333333,124.4,33.766666666666666
167,173.73333333333332,168.03333333333333,38.5
168,182.16666666666666,146.96666666666667,38.333333333333336
169,187.73333333333332,150.1,35.833333333333336
170,117.86666666666666,160.03333333333333,37.8
171,160.13333333333333,156.3,34.46666666666667
172,146.5,133.2,36.833333333333336
173,151.86666666666667,165.43333333333334,41.93333333333333
174,149.3,103.33333333333333,34.5
175,188.6,151.56666666666666,37.666666666666664
176,185.96666666666667,133.36666666666667,35.86666666666667
177,178.9,156.66666666666666,35.8
178,194.53333333333333,143.16666666666666,35.56666666666667
179,219.13333333333333,157.96666666666667,39.8
180,184.03333333333333,163.7,41.266666666666666
181,161.3,132.1,33.93333333333333
182,197.5,140.46666666666667,40.233333333333334
183,172.26666666666668,157.93333333333334,37.666666666666664
184,184.7,140.93333333333334,41.96666666666667
185,177.46666666666667,155.36666666666667,36.666666666666664
186,159.4,181.56666666666666,37.53333333333333
187,154.06666666666666,146.73333333333332,38.4
188,145.53333333333333,146.23333333333332,37.46666666666667
189,201.5,136.3,51.13333333333333
190,158.03333333333333,169.46666666666667,48.3
191,146.5,126.36666666666666,37.46666666666667
192,171.06666666666666,182.0,38.0
193,204.03333333333333,112.73333333333333,47.166666666666664
194,171.4,160.43333333333334,35.766666666666666
195,228.96666666666667,146.1,32.6
196,130.7,143.43333333333334,33.06666666666667
197,160.0,101.86666666666666,36.333333333333336
198,194.96666666666667,180.1,33.4
199,179.2,154.5,34.266666666666666
200,196.8,146.23333333333332,33.43333333333333
201,159.96666666666667,96.43333333333334,32.7
202,175.16666666666666,172.86666666666667,32.6
203,199.33333333333334,123.86666666666666,34.2
204,170.9,151.26666666666668,34.166666666666664
205,214.3,139.4,35.06666666666667
206,162.66666666666666,148.33333333333334,39.56666666666667
207,186.33333333333334,169.56666666666666,34.46666666666667
208,180.16666666666666,145.03333333333333,34.56666666666667
209,120.5,121.73333333333333,33.03333333333333
210,185.06666666666666,165.36666666666667,33.266666666666666
211,202.7,134.53333333333333,32.833333333333336
212,172.36666666666667,136.9,33.233333333333334
213,188.3,182.63333333333333,33.5
214,146.3,141.9,33.53333333333333
215,189.8,127.03333333333333,34.166666666666664
216,185.3,170.3,32.96666666666667
217,176.56666666666666,173.16666666666666,34.166666666666664
218,201.46666666666667,148.33333333333334,32.9
219,185.66666666666666,151.16666666666666,32.7
220,200.3,151.16666666666666,33.266666666666666
221,187.2,136.1,34.43333333333333
222,182.46666666666667,131.9,32.63333333333333
223,206.76666666666668,176.46666666666667,47.333333333333336
224,218.53333333333333,131.56666666666666,32.733333333333334
225,170.56666666666666,160.06666666666666,32.6
226,180.23333333333332,149.46666666666667,32.6
227,188.83333333333334,135.56666666666666,33.96666666666667
228,162.66666666666666,140.03333333333333,32.96666666666667
229,149.6,164.8,33.5
230,185.7,160.6,35.13333333333333
231,222.43333333333334,160.7,33.233333333333334
