#{"t_start": 1748484311.5101602, "env_id": "MountainCarContinuous-v0"}
r,l,t
-5.242747,999,0.236357
-2.803934,999,0.483812
-4.196591,999,0.729786
-5.465948,999,0.992243
-5.435095,999,1.282672
-4.579125,999,1.524621
-4.018324,999,1.770889
-3.110946,999,2.019274
-2.339523,999,2.262611
-1.737721,999,2.528662
-1.32685,999,2.775341
-1.08924,999,3.030347
-0.998702,999,3.272046
-1.215952,999,3.520091
-1.586602,999,3.764486
-2.162596,999,4.009983
-2.840375,999,4.255212
-3.95375,999,4.497647
-4.974451,999,4.743244
-5.698692,999,4.986443
-6.039799,999,5.252564
-6.78238,999,5.496697
-6.789262,999,5.741499
-6.926326,999,5.992836
-6.905717,999,6.310396
-6.30077,999,6.602136
-5.79042,999,6.83948
-5.269784,999,7.07942
-4.459615,999,7.340237
-3.804311,999,7.583085
-3.164838,999,7.829098
-2.507831,999,8.106541
-1.934569,999,8.345038
-1.64398,999,8.593727
-1.365168,999,8.855692
-1.091221,999,9.114635
-1.030385,999,9.37819
-0.976693,999,9.630575
-0.985546,999,9.8808
-1.041656,999,10.127301
-1.109242,999,10.374992
-1.177249,999,10.622822
-1.246014,999,10.869294
-1.300554,999,11.15133
-1.337916,999,11.3925
-1.328703,999,11.639174
-1.325791,999,11.881549
-1.289442,999,12.125909
-1.084361,999,12.372777
-1.105901,999,12.650844
-1.011201,999,12.914157
-0.958498,999,13.154876
-1.016465,999,13.398535
-0.898101,999,13.641654
-1.106838,999,13.88185
-0.89778,999,14.125159
-0.995643,999,14.368095
-0.958945,999,14.612618
-0.965705,999,14.857891
-1.025335,999,15.099992
-1.068967,999,15.345977
-1.011686,999,15.593503
-1.013274,999,15.83752
-0.99179,999,16.079686
-0.986668,999,16.327724
-0.991099,999,16.576814
-0.988782,999,16.825146
-0.956197,999,17.071282
-0.886301,999,17.317288
-0.997765,999,17.565044
-1.035419,999,17.830022
-1.071134,999,18.131425
-1.065411,999,18.382331
-1.078155,999,18.63093
-1.089124,999,18.874121
-1.050074,999,19.131717
-0.982713,999,19.387228
-0.957264,999,19.638448
-0.985395,999,19.888841
-0.943129,999,20.129154
-0.977247,999,20.369227
-1.053837,999,20.641448
-1.056856,999,20.881652
-1.024185,999,21.128103
-0.992401,999,21.375725
-0.971203,999,21.621307
-1.04452,999,21.864442
-1.032043,999,22.117436
-1.012571,999,22.358014
-1.029428,999,22.613841
-1.013492,999,22.863226
-1.049344,999,23.11697
-1.072422,999,23.382103
-0.977894,999,23.627844
-1.020269,999,23.882472
-1.046599,999,24.132565
-0.991206,999,24.379712
-1.011402,999,24.624815
-1.024806,999,24.87353
-0.949852,999,25.120545
-1.082125,999,25.383481
-1.003996,999,25.632798
-1.020674,999,25.878784
-1.012327,999,26.118204
-1.016625,999,26.386539
-1.066753,999,26.648682
-1.00179,999,26.890917
-1.002684,999,27.140051
-0.945853,999,27.382784
-0.979804,999,27.628346
-1.022774,999,27.871924
-0.974027,999,28.11632
-1.033041,999,28.359147
-0.967155,999,28.627566
-0.971787,999,28.943791
-0.983963,999,29.185941
-0.998233,999,29.436766
-0.9491,999,29.740378
-0.923752,999,29.980866
-0.934015,999,30.22056
-0.956322,999,30.464751
-1.003437,999,30.710745
-1.002516,999,30.959617
-1.09839,999,31.259938
-1.016796,999,31.507235
-1.068152,999,31.772578
-1.043579,999,32.044664
-1.008387,999,32.322974
-1.023771,999,32.593089
-1.024181,999,32.828382
-1.037735,999,33.081463
-0.970803,999,33.323916
-0.965154,999,33.573594
-1.102556,999,33.816094
-0.984312,999,34.058012
-1.00399,999,34.298316
-0.972642,999,34.545528
-1.004635,999,34.793709
-1.027041,999,35.039055
-0.943581,999,35.28125
-1.059238,999,35.529497
-1.063329,999,35.778881
-1.066301,999,36.024927
-1.035694,999,36.277741
-1.022749,999,36.53078
-1.095913,999,36.786009
-1.096932,999,37.033379
-1.065733,999,37.293572
-1.067019,999,37.53916
-1.031062,999,37.77955
-1.098558,999,38.024177
-1.016378,999,38.266996
-1.043387,999,38.529756
-1.175079,999,38.776128
-1.062068,999,39.056184
-1.068211,999,39.345439
-0.974053,999,39.611513
-1.109328,999,39.850292
-1.015126,999,40.115352
-1.007573,999,40.361353
-1.024284,999,40.60829
-1.02935,999,40.867133
-1.065843,999,41.14158
-0.989274,999,41.384022
-1.022061,999,41.633784
-0.990193,999,41.925765
-1.017626,999,42.194668
-1.008569,999,42.44354
-0.99625,999,42.691315
-0.995078,999,42.938725
-1.060926,999,43.185073
-1.018832,999,43.432407
-1.009522,999,43.683855
-1.001265,999,43.932861
-1.005673,999,44.206597
-1.09888,999,44.504548
-1.024158,999,44.754849
-1.058905,999,45.000406
-1.06224,999,45.245177
-0.974579,999,45.494546
-1.012711,999,45.739955
-0.967677,999,45.985333
-1.041923,999,46.240926
-0.998404,999,46.483675
-1.077398,999,46.743034
-0.95314,999,47.018162
-0.988133,999,47.266848
-1.074418,999,47.515486
-1.007151,999,47.768436
-1.131077,999,48.022234
-1.018291,999,48.288519
-1.108429,999,48.551545
-1.094283,999,48.80624
-1.023427,999,49.049298
-1.046355,999,49.295549
-1.024476,999,49.563206
-1.000054,999,49.817264
-1.066925,999,50.065944
-1.085989,999,50.318949
-1.055856,999,50.564693
-1.00303,999,50.852898
-1.065952,999,51.092581
-1.10081,999,51.338029
-1.030906,999,51.582176
-1.054279,999,51.832367
-1.102338,999,52.078068
-1.104158,999,52.331049
-1.046236,999,52.613916
-1.036515,999,52.861911
-0.983288,999,53.112268
-1.038434,999,53.399941
-1.040384,999,53.635897
-1.137233,999,54.047673
-1.043971,999,54.344954
-0.9566,999,54.618228
-1.037484,999,54.880398
-1.068194,999,55.149265
-1.070136,999,55.395917
-1.104162,999,55.639289
-0.997698,999,55.895645
-1.107078,999,56.178709
-0.975038,999,56.448329
-1.047443,999,56.688863
-1.053616,999,56.935562
-0.958473,999,57.185072
-1.024661,999,57.455281
-0.977509,999,57.702798
-1.036093,999,57.95589
-0.987374,999,58.198663
-0.969298,999,58.440544
-1.054501,999,58.686298
-1.074725,999,58.924613
-1.059523,999,59.173522
-0.998476,999,59.43578
-1.096952,999,59.68054
-1.059588,999,59.924314
-1.032464,999,60.168877
-1.098124,999,60.417541
-0.992877,999,60.66728
-1.044099,999,60.913619
-1.018183,999,61.164075
-1.085623,999,61.422834
-1.091594,999,61.689112
-1.106842,999,61.938993
-0.982434,999,62.191335
-0.972018,999,62.439735
-1.03915,999,62.698152
-1.04161,999,62.94053
-1.007184,999,63.180585
-1.020413,999,63.428222
-1.158456,999,63.671888
-0.934436,999,63.932763
-1.063165,999,64.191849
-0.971286,999,64.468502
-1.002748,999,64.722946
-1.040576,999,64.961594
-1.035132,999,65.217349
-1.038873,999,65.499208
-1.039989,999,65.798161
-0.984322,999,66.046179
-1.0569,999,66.311835
-0.953533,999,66.57773
-0.980416,999,66.822562
-0.986969,999,67.074049
-1.156961,999,67.315516
-0.955283,999,67.58065
-1.018863,999,67.827052
-1.006932,999,68.082116
-1.058327,999,68.331052
-0.959068,999,68.568864
-1.097533,999,68.813658
-1.033683,999,69.057067
-1.01096,999,69.322858
-1.082133,999,69.567707
-1.059487,999,69.814565
-1.11647,999,70.071471
-1.016589,999,70.336624
-1.069924,999,70.599373
-1.069795,999,70.840043
-0.959251,999,71.088579
-0.937017,999,71.336003
-1.004248,999,71.585793
-1.068513,999,71.883988
-1.028386,999,72.136776
-1.069421,999,72.372727
-1.052904,999,72.667841
-1.066367,999,72.979402
-1.086324,999,73.216399
-0.930326,999,73.455005
-0.98199,999,73.733833
-1.042539,999,74.003083
-1.04023,999,74.24573
-1.082948,999,74.502741
-1.002475,999,74.750109
-1.019338,999,74.995339
-1.067784,999,75.286646
-1.125035,999,75.540866
-1.265291,999,75.78296
-1.117431,999,76.024673
-1.224994,999,76.275058
-1.197569,999,76.519982
