#{"t_start": 1748478869.095172, "env_id": "MountainCarContinuous-v0"}
r,l,t
-16.844355,999,0.819658
-9.041997,999,2.454567
-9.222147,999,4.01263
-8.494465,999,5.235426
-10.169317,999,6.316803
-12.500122,999,7.126537
-12.761102,999,8.059477
-10.644593,999,9.384558
-9.915291,999,10.622457
-9.3283,999,11.369524
-12.385736,999,12.331051
-19.043438,999,13.260904
-23.16885,999,14.112973
-27.744637,999,14.830152
-26.825587,999,15.552482
-26.056605,999,16.262781
-23.949762,999,17.176062
-18.264281,999,18.223687
-13.98113,999,19.686319
-11.955504,999,21.459719
-9.732927,999,23.276721
-9.077447,999,25.239477
-10.146095,999,26.936553
-12.160396,999,27.794367
-13.736527,999,28.75998
-14.650412,999,29.940631
-14.255459,999,30.725397
-14.074583,999,31.246686
-11.652457,999,31.866935
-11.172467,999,32.459108
-9.812509,999,32.988798
-8.880862,999,33.580949
-9.317292,999,34.059823
-9.772377,999,34.639269
-10.238402,999,35.190458
-11.862984,999,35.901612
-12.523968,999,36.505324
-15.034918,999,37.148253
-15.603019,999,37.694288
-16.251742,999,38.233602
-16.559539,999,38.842153
-15.799087,999,39.443406
-15.131156,999,39.972423
-15.168405,999,40.59179
-14.611045,999,41.08798
-11.8883,999,41.579084
-11.124293,999,42.157646
-10.178077,999,42.709415
-9.78846,999,43.291281
-8.891887,999,44.074071
-8.872764,999,44.836269
-9.38149,999,45.64461
-9.133668,999,46.299045
-9.051434,999,46.981661
-8.865595,999,47.63439
-8.643332,999,48.327701
-8.797803,999,48.86132
-9.522084,999,49.400576
-8.673029,999,49.99977
-9.892068,999,50.578669
-8.232109,999,51.136377
-8.828985,999,51.665418
-9.558854,999,52.496164
-10.245154,999,53.0722
-10.195204,999,53.73338
-10.36039,999,54.250788
-11.07768,999,54.825175
-11.227874,999,55.385613
-11.547206,999,55.920465
-11.162238,999,56.539418
-11.654365,999,57.109513
-11.870293,999,57.591248
-11.87317,999,58.205436
-11.77402,999,58.745883
-9.941465,999,59.283124
-9.862949,999,59.913559
-10.543581,999,60.530002
-10.178,999,61.056862
-10.313365,999,61.594644
-9.688485,999,62.232844
-9.780115,999,62.838931
-10.164131,999,63.443567
-9.939967,999,63.922637
-8.94205,999,64.455312
-9.32529,999,64.984957
-9.311296,999,65.615425
-9.876449,999,66.195914
-10.029488,999,66.806657
-9.962327,999,67.360185
-9.444698,999,67.902899
-10.173408,999,68.517884
-10.398329,999,69.091063
-10.240959,999,70.033658
-10.079786,999,70.641498
-10.525026,999,71.173144
-9.823759,999,71.974833
-10.646787,999,72.558315
-10.407387,999,73.239946
-9.940211,999,73.939791
-10.119557,999,74.678848
-10.1377,999,75.203122
-10.269878,999,75.73335
-10.103255,999,76.350815
-9.624164,999,76.95161
-11.057432,999,77.951788
-9.755631,999,78.661408
-10.305931,999,79.356839
-9.523821,999,80.068425
-9.889704,999,80.609419
-9.956401,999,81.189911
-10.397696,999,81.727265
-9.686309,999,82.317421
-10.039434,999,82.947856
-9.333916,999,83.504834
-9.192469,999,84.102493
-9.400497,999,84.734815
-9.985364,999,85.391508
-10.37958,999,86.064672
-10.785879,999,86.625939
-10.435065,999,87.248461
-9.506015,999,87.796541
-10.668757,999,88.453116
-10.343146,999,89.032004
-10.280574,999,89.661083
-9.724738,999,90.342814
-9.636722,999,90.884936
-9.676976,999,91.453441
-9.87414,999,92.231184
-10.127481,999,93.023055
-10.196211,999,93.744034
-10.255519,999,94.43558
-10.551647,999,94.992014
-10.16935,999,95.620519
-10.453568,999,96.263595
-10.747947,999,96.779424
-10.013357,999,97.42685
-10.827547,999,98.036286
-10.223964,999,98.577204
-10.33826,999,99.138065
-10.064677,999,99.742198
-9.6075,999,100.249357
-10.170125,999,100.795756
-9.399615,999,101.329924
-9.81514,999,102.221627
-10.272077,999,102.994443
-9.79827,999,103.878526
-8.859538,999,104.886782
-10.382321,999,105.748431
-9.541915,999,106.612307
-9.266178,999,107.416145
-9.445265,999,108.424048
-9.985035,999,109.328794
-9.933321,999,109.901361
-10.520021,999,110.628445
-10.499646,999,111.196763
-9.705033,999,111.844795
-9.992663,999,112.511759
-10.298156,999,113.151559
-10.365041,999,113.742946
-10.639068,999,114.328406
-10.025985,999,114.893623
-10.511521,999,115.514251
-9.883308,999,116.067148
-10.785939,999,116.599156
-9.761299,999,117.185615
-10.55389,999,117.741888
-9.359294,999,118.29431
-9.507478,999,118.804335
-9.785031,999,119.296486
-9.862786,999,119.811901
-9.700483,999,120.547716
-9.875412,999,121.274405
-9.012673,999,121.779828
-10.124039,999,122.303652
-10.038108,999,122.853153
-10.018373,999,123.446281
-10.240545,999,124.072424
-9.080648,999,124.691916
-10.742877,999,125.236811
-9.583306,999,125.81291
-9.999384,999,126.420241
-9.482583,999,126.978696
-10.514674,999,127.858946
-9.882634,999,128.675323
-10.248774,999,129.311856
-9.170764,999,129.902258
-9.778727,999,130.493195
-9.121329,999,131.068383
-9.606361,999,131.73604
-9.214831,999,133.187353
-9.677143,999,135.1157
-10.859588,999,136.442522
-10.147291,999,137.155961
-9.642996,999,138.282795
-9.872816,999,139.409426
-9.393134,999,140.396421
-9.305609,999,141.449317
-9.968734,999,142.306865
-9.922147,999,143.475208
-10.003886,999,144.443966
-9.717212,999,145.268048
-10.060736,999,146.003058
-9.323521,999,146.779526
-10.350107,999,147.598065
-9.870028,999,148.352345
-9.656061,999,149.223598
-8.923656,999,150.099825
-9.767862,999,150.775493
-9.751446,999,151.331669
-9.179798,999,151.900401
-9.808002,999,152.484493
-9.615769,999,153.050603
-10.288664,999,153.557211
-10.545147,999,154.205369
-9.444603,999,154.678985
-9.484736,999,155.246377
-9.575806,999,155.800807
-10.088951,999,156.356564
-9.766454,999,156.864869
-9.943853,999,157.489893
-9.959783,999,158.06456
-10.338887,999,158.763289
-9.532019,999,159.3239
-10.309185,999,159.882004
-9.645916,999,160.487589
-10.26912,999,161.029618
-9.926212,999,161.685257
-9.543265,999,162.250982
-10.073342,999,162.803579
-10.122913,999,163.447526
-10.356232,999,163.970288
-9.520022,999,164.475316
-10.328536,999,164.987737
-9.823624,999,165.630529
-9.532619,999,166.240272
-10.232128,999,166.784128
-9.813201,999,167.336523
-10.470526,999,168.192597
-9.119031,999,168.915632
-9.807589,999,169.593352
-9.144275,999,170.382454
-10.121943,999,171.06108
-10.153971,999,171.977689
-9.578984,999,173.370859
-9.391488,999,174.113084
-9.74465,999,175.165764
-9.739071,999,176.084558
-9.295328,999,176.897309
-10.432128,999,178.226249
-9.988055,999,179.515081
-9.793662,999,180.664519
-9.373031,999,181.534025
-10.355428,999,182.207528
-9.35897,999,182.892856
-10.21932,999,183.942173
-9.77675,999,184.79595
-10.140438,999,185.333818
