learning_rate,noise_sigma,noise_mean,buffer_size,batch_size,tau,gamma,mean_reward,last_100_mean,index
0.0001,0.1,0.0,1000000.0,32,0.01,1.0,-2.3042185880398667,-1.0004326399999999,0
0.001,0.1,0.0,1000000.0,64,0.001,0.95,-2.8792144385382064,-1.0430196500000002,10
0.001,0.1,0.2,10000.0,32,0.001,0.95,-12.38298011627907,-1.3078755699999995,7
0.001,0.2,0.0,1000000.0,64,0.001,0.99,-7.3864768471760796,-4.01713971,15
0.0005,0.1,0.2,100000.0,32,0.01,0.99,-5.0028120897009964,-4.063152099999999,1
0.0001,0.2,0.0,1000000.0,64,0.001,0.99,-4.201656707641195,-4.190824900000001,16
0.0001,0.2,0.1,10000.0,32,0.01,0.95,-5.345489691029901,-5.079272240000002,3
0.0005,0.1,0.2,10000.0,128,0.01,0.95,-8.012432102990033,-5.303670900000001,2
0.001,0.1,0.2,10000.0,32,0.001,1.0,-19.258986691029904,-6.49725806,5
0.001,0.2,0.2,100000.0,128,0.01,1.0,-12.89925911295681,-7.489616829999999,11
0.001,0.2,0.2,1000000.0,256,0.005,1.0,-9.721327740863789,-7.744335230000001,8
0.0001,0.3,0.0,10000.0,32,0.001,0.99,-9.098217488372093,-9.00516213,12
0.001,0.3,0.0,10000.0,256,0.001,0.99,-12.851128099667774,-9.038580739999993,14
0.0001,0.3,0.0,1000000.0,128,0.001,0.95,-9.12909254152824,-9.077885429999998,9
0.0001,0.2,0.2,100000.0,256,0.001,0.99,-8.91432911295681,-9.347415380000001,6
0.0005,0.3,0.1,100000.0,128,0.005,0.95,-10.534023564784054,-9.82826846,4
0.001,0.3,0.2,1000000.0,128,0.001,0.99,-13.688178820598008,-12.469395879999995,13
