#{"t_start": 1748401396.570648, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.011409
-200.0,200,0.020823
-200.0,200,0.030207
-200.0,200,0.039583
-200.0,200,0.048938
-200.0,200,0.132217
-200.0,200,0.211941
-200.0,200,0.297964
-200.0,200,0.374626
-200.0,200,0.453926
-200.0,200,0.55637
-200.0,200,0.640199
-200.0,200,0.730677
-200.0,200,0.812049
-200.0,200,0.892546
-200.0,200,0.97719
-200.0,200,1.059235
-200.0,200,1.143508
-200.0,200,1.244955
-200.0,200,1.329154
-200.0,200,1.425941
-200.0,200,1.534885
-200.0,200,1.620407
-200.0,200,1.702468
-200.0,200,1.787961
-200.0,200,1.872711
-200.0,200,1.964659
-200.0,200,2.05102
-200.0,200,2.141672
-200.0,200,2.228503
-200.0,200,2.318799
-200.0,200,2.40639
-200.0,200,2.495196
-200.0,200,2.583666
-200.0,200,2.674531
-200.0,200,2.760334
-200.0,200,2.84774
-200.0,200,2.933104
-200.0,200,3.019473
-200.0,200,3.110552
-200.0,200,3.195721
-200.0,200,3.288235
-200.0,200,3.381761
-200.0,200,3.482934
-200.0,200,3.568509
-200.0,200,3.65734
-200.0,200,3.755167
-200.0,200,3.850738
-200.0,200,3.941842
-200.0,200,4.052676
-200.0,200,4.150472
-200.0,200,4.237092
-200.0,200,4.328608
-200.0,200,4.418626
-200.0,200,4.506747
-200.0,200,4.596789
-200.0,200,4.687294
-200.0,200,4.782574
-200.0,200,4.882877
-200.0,200,4.986352
-200.0,200,5.080421
-200.0,200,5.172571
-200.0,200,5.26443
-200.0,200,5.353583
-200.0,200,5.445037
-200.0,200,5.536155
-200.0,200,5.650108
-200.0,200,5.741787
-200.0,200,5.835791
-200.0,200,5.932585
-200.0,200,6.027511
-200.0,200,6.125002
-200.0,200,6.218925
-200.0,200,6.321748
-200.0,200,6.438907
-200.0,200,6.551595
-200.0,200,6.646835
-200.0,200,6.738516
-200.0,200,6.830005
-200.0,200,6.928603
-200.0,200,7.023338
-200.0,200,7.115049
-200.0,200,7.218514
-200.0,200,7.32138
-200.0,200,7.420449
-200.0,200,7.519773
-200.0,200,7.614988
-200.0,200,7.712362
-200.0,200,7.813814
-200.0,200,7.908538
-200.0,200,8.012653
-186.0,186,8.115939
-200.0,200,8.211962
-200.0,200,8.306033
-200.0,200,8.397493
-200.0,200,8.503719
-200.0,200,8.595151
-200.0,200,8.685825
-200.0,200,8.779929
-200.0,200,8.87765
-200.0,200,8.976988
-200.0,200,9.073433
-200.0,200,9.190576
-200.0,200,9.291397
-200.0,200,9.39058
-200.0,200,9.492911
-200.0,200,9.598175
-200.0,200,9.692007
-200.0,200,9.789153
-200.0,200,9.88911
-178.0,178,9.976286
-200.0,200,10.077667
-200.0,200,10.174588
-200.0,200,10.268829
-200.0,200,10.366391
-200.0,200,10.469356
-200.0,200,10.566322
-200.0,200,10.66196
-200.0,200,10.761515
-200.0,200,10.860134
-200.0,200,10.958652
-200.0,200,11.057662
-200.0,200,11.156294
-200.0,200,11.256168
-200.0,200,11.356874
-200.0,200,11.456216
-200.0,200,11.556686
-200.0,200,11.658504
-200.0,200,11.760637
-200.0,200,11.859641
-200.0,200,11.960392
-200.0,200,12.058317
-200.0,200,12.157763
-200.0,200,12.260633
-200.0,200,12.363137
-200.0,200,12.463383
-200.0,200,12.566258
-200.0,200,12.663807
-200.0,200,12.762935
-200.0,200,12.862359
-200.0,200,12.96338
-200.0,200,13.065747
-200.0,200,13.16651
-200.0,200,13.267795
-200.0,200,13.370755
-200.0,200,13.471011
-200.0,200,13.576636
-200.0,200,13.678821
-200.0,200,13.783063
-200.0,200,13.886367
-200.0,200,13.992362
-200.0,200,14.091566
-188.0,188,14.189941
-200.0,200,14.290534
-200.0,200,14.394486
-200.0,200,14.522005
-200.0,200,14.626182
-200.0,200,14.734756
-200.0,200,14.85596
-200.0,200,14.970353
-200.0,200,15.089872
-200.0,200,15.193781
-200.0,200,15.296236
-200.0,200,15.399385
-200.0,200,15.521662
-200.0,200,15.63174
-200.0,200,15.736869
-200.0,200,15.836953
-200.0,200,15.945341
-200.0,200,16.060452
-200.0,200,16.184623
-200.0,200,16.299003
-200.0,200,16.423965
-200.0,200,16.528515
-200.0,200,16.630019
-146.0,146,16.715771
-200.0,200,16.819515
-200.0,200,16.939736
-200.0,200,17.040313
-200.0,200,17.143321
-200.0,200,17.24699
-200.0,200,17.350364
-200.0,200,17.455338
-200.0,200,17.558359
-200.0,200,17.658993
-200.0,200,17.759265
-200.0,200,17.860836
-200.0,200,17.962018
-200.0,200,18.065485
-200.0,200,18.168563
-200.0,200,18.272602
-105.0,105,18.326697
-200.0,200,18.430073
-200.0,200,18.532363
-200.0,200,18.639464
-200.0,200,18.741732
-200.0,200,18.846943
-200.0,200,18.954061
-200.0,200,19.056408
-200.0,200,19.160216
-200.0,200,19.263386
-200.0,200,19.368723
-200.0,200,19.474926
-200.0,200,19.581974
-200.0,200,19.68059
-200.0,200,19.785056
-200.0,200,19.889882
-200.0,200,19.996943
-200.0,200,20.099275
-200.0,200,20.227018
-200.0,200,20.364027
-200.0,200,20.466615
-200.0,200,20.571034
-200.0,200,20.678798
-200.0,200,20.782758
-200.0,200,20.888213
-200.0,200,20.991805
-200.0,200,21.096207
-200.0,200,21.200046
-200.0,200,21.303869
-200.0,200,21.406383
-158.0,158,21.487828
-200.0,200,21.590486
-200.0,200,21.690115
-200.0,200,21.796099
-200.0,200,21.900103
-200.0,200,22.003741
-200.0,200,22.109535
-200.0,200,22.214524
-200.0,200,22.317171
-200.0,200,22.423274
-200.0,200,22.527581
-200.0,200,22.630074
-200.0,200,22.731551
-200.0,200,22.836801
-200.0,200,22.94207
-200.0,200,23.066359
-200.0,200,23.191465
-182.0,182,23.287
-200.0,200,23.400495
-200.0,200,23.50676
-200.0,200,23.616462
-200.0,200,23.722874
-200.0,200,23.824794
-200.0,200,23.92933
-200.0,200,24.027788
-200.0,200,24.137443
-200.0,200,24.242816
-200.0,200,24.346
-200.0,200,24.494801
-200.0,200,24.606373
-200.0,200,24.713066
-200.0,200,24.818781
-200.0,200,24.923811
-200.0,200,25.034673
-200.0,200,25.141049
-200.0,200,25.244895
-200.0,200,25.351034
-200.0,200,25.482971
-200.0,200,25.585799
-181.0,181,25.68104
-200.0,200,25.79076
-200.0,200,25.895592
-200.0,200,25.997729
-200.0,200,26.098137
-200.0,200,26.200935
-200.0,200,26.302024
-200.0,200,26.406379
-185.0,185,26.5385
-200.0,200,26.638677
-200.0,200,26.739829
-200.0,200,26.846563
-200.0,200,26.97647
-200.0,200,27.084428
-200.0,200,27.188143
-194.0,194,27.288428
-200.0,200,27.396643
-200.0,200,27.548607
-200.0,200,27.649896
-200.0,200,27.769934
-200.0,200,27.873524
-200.0,200,27.97953
-200.0,200,28.078475
-200.0,200,28.17784
-200.0,200,28.280497
-200.0,200,28.382277
-179.0,179,28.474931
-200.0,200,28.578799
-200.0,200,28.679749
-200.0,200,28.782351
-200.0,200,28.884568
-200.0,200,28.998218
-200.0,200,29.097231
-200.0,200,29.199554
-188.0,188,29.291913
-200.0,200,29.398381
-200.0,200,29.524149
-200.0,200,29.631106
-200.0,200,29.734706
-200.0,200,29.840599
-200.0,200,29.945105
-147.0,147,30.030715
-200.0,200,30.151989
-200.0,200,30.268028
-200.0,200,30.383808
-200.0,200,30.486876
-200.0,200,30.595489
-200.0,200,30.703561
-200.0,200,30.807296
-191.0,191,30.907063
-200.0,200,31.017536
-139.0,139,31.090733
-200.0,200,31.192879
-200.0,200,31.30325
-200.0,200,31.403987
-200.0,200,31.509881
-200.0,200,31.624326
-200.0,200,31.72979
-200.0,200,31.835887
-200.0,200,31.949795
-121.0,121,32.022591
-200.0,200,32.13106
-94.0,94,32.181104
-200.0,200,32.288666
-149.0,149,32.377051
-134.0,134,32.450625
-167.0,167,32.535606
-200.0,200,32.638701
-200.0,200,32.741294
-200.0,200,32.85006
-200.0,200,32.955364
-200.0,200,33.060913
-200.0,200,33.167015
-200.0,200,33.288314
-200.0,200,33.394192
-200.0,200,33.511505
-200.0,200,33.624858
-157.0,157,33.710286
-172.0,172,33.850528
-152.0,152,33.955115
-200.0,200,34.105751
-177.0,177,34.195888
-196.0,196,34.297663
-200.0,200,34.404564
-151.0,151,34.482228
-200.0,200,34.586189
-200.0,200,34.691611
-126.0,126,34.756491
-200.0,200,34.887409
-153.0,153,34.969636
