#{"t_start": 1748374918.6767247, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.649954
-200.0,200,0.746287
-200.0,200,0.830796
-200.0,200,0.964493
-200.0,200,1.063564
-200.0,200,1.150709
-200.0,200,1.235331
-200.0,200,1.312445
-200.0,200,1.398863
-200.0,200,1.502953
-200.0,200,1.589663
-200.0,200,1.67726
-200.0,200,1.766495
-200.0,200,1.84936
-200.0,200,1.933876
-200.0,200,2.029812
-200.0,200,2.134107
-200.0,200,2.252902
-200.0,200,2.368801
-200.0,200,2.474077
-200.0,200,2.59292
-200.0,200,2.733549
-200.0,200,2.82822
-200.0,200,2.926041
-200.0,200,3.023766
-200.0,200,3.169456
-200.0,200,3.292671
-200.0,200,3.412086
-200.0,200,3.534567
-200.0,200,3.645175
-200.0,200,3.806708
-200.0,200,3.911526
-200.0,200,4.009146
-200.0,200,4.119672
-200.0,200,4.210563
-200.0,200,4.29992
-200.0,200,4.420173
-200.0,200,4.534692
-200.0,200,4.68574
-200.0,200,4.788856
-200.0,200,4.955185
-200.0,200,5.116084
-200.0,200,5.209107
-200.0,200,5.316058
-200.0,200,5.445037
-200.0,200,5.532711
-200.0,200,5.628035
-200.0,200,5.794702
-200.0,200,5.94774
-200.0,200,6.09895
-200.0,200,6.198791
-200.0,200,6.292878
-200.0,200,6.38983
-200.0,200,6.542848
-200.0,200,6.655344
-200.0,200,6.752314
-200.0,200,6.871325
-200.0,200,6.992167
-200.0,200,7.111162
-200.0,200,7.234012
-200.0,200,7.331758
-200.0,200,7.442859
-200.0,200,7.580037
-200.0,200,7.692961
-200.0,200,7.811805
-200.0,200,7.988744
-200.0,200,8.121155
-200.0,200,8.370779
-200.0,200,8.555491
-200.0,200,8.67446
-200.0,200,8.784936
-200.0,200,8.931373
-200.0,200,9.038794
-200.0,200,9.155719
-200.0,200,9.282824
-200.0,200,9.408853
-200.0,200,9.540522
-200.0,200,9.642444
-200.0,200,9.740498
-200.0,200,9.843606
-200.0,200,9.948004
-200.0,200,10.056588
-200.0,200,10.158654
-200.0,200,10.276629
-200.0,200,10.397113
-200.0,200,10.493383
-200.0,200,10.590583
-200.0,200,10.692189
-200.0,200,10.824012
-200.0,200,11.026681
-200.0,200,11.126796
-200.0,200,11.234223
-200.0,200,11.355393
-200.0,200,11.518818
-200.0,200,11.616284
-200.0,200,11.738717
-200.0,200,11.842163
-200.0,200,11.936031
-200.0,200,12.032815
-200.0,200,12.131705
-200.0,200,12.234044
-200.0,200,12.351414
-200.0,200,12.477715
-200.0,200,12.641227
-200.0,200,12.754302
-200.0,200,12.957608
-200.0,200,13.158435
-200.0,200,13.303005
-200.0,200,13.455713
-200.0,200,13.559034
-200.0,200,13.668927
-200.0,200,13.799839
-200.0,200,13.913036
-200.0,200,14.024945
-200.0,200,14.17696
-200.0,200,14.339566
-200.0,200,14.490353
-200.0,200,14.703037
-200.0,200,14.835898
-200.0,200,14.9899
-162.0,162,15.08655
-200.0,200,15.278491
-200.0,200,15.387296
-200.0,200,15.494829
-200.0,200,15.683633
-200.0,200,15.807776
-200.0,200,15.910679
-200.0,200,16.028613
-200.0,200,16.172605
-200.0,200,16.276123
-200.0,200,16.420225
-200.0,200,16.532765
-200.0,200,16.645514
-200.0,200,16.760621
-200.0,200,16.869656
-200.0,200,16.974085
-200.0,200,17.080891
-200.0,200,17.185641
-200.0,200,17.294711
-200.0,200,17.420884
-200.0,200,17.542326
-200.0,200,17.703175
-200.0,200,17.806639
-200.0,200,17.912429
-200.0,200,18.087394
-200.0,200,18.190354
-200.0,200,18.298389
-200.0,200,18.499198
-200.0,200,18.657218
-200.0,200,18.783077
-178.0,178,18.88021
-200.0,200,19.024308
-200.0,200,19.187923
-200.0,200,19.295917
-200.0,200,19.420793
-200.0,200,19.603554
-200.0,200,19.715908
-200.0,200,19.831287
-200.0,200,19.942381
-200.0,200,20.060113
-135.0,135,20.136278
-200.0,200,20.258083
-200.0,200,20.498238
-200.0,200,20.65488
-200.0,200,20.796225
-200.0,200,20.915863
-200.0,200,21.022753
-200.0,200,21.126121
-200.0,200,21.231858
-200.0,200,21.338082
-200.0,200,21.485231
-126.0,126,21.557039
-200.0,200,21.666319
-200.0,200,21.774281
-200.0,200,21.880814
-200.0,200,21.986453
-200.0,200,22.129219
-200.0,200,22.270482
-200.0,200,22.414701
-200.0,200,22.527524
-200.0,200,22.650123
-200.0,200,22.789255
-153.0,153,22.875362
-200.0,200,23.014819
-200.0,200,23.123046
-200.0,200,23.244335
-200.0,200,23.357597
