#{"t_start": 1748388185.587604, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.012189
-200.0,200,0.022196
-200.0,200,0.032443
-200.0,200,0.042416
-200.0,200,0.052374
-200.0,200,0.142007
-200.0,200,0.217261
-200.0,200,0.317785
-200.0,200,0.431236
-200.0,200,0.515766
-200.0,200,0.609357
-200.0,200,0.704832
-200.0,200,0.807142
-200.0,200,0.943135
-200.0,200,1.14338
-200.0,200,1.253525
-200.0,200,1.358359
-200.0,200,1.581865
-200.0,200,1.731937
-200.0,200,1.850225
-200.0,200,1.947389
-200.0,200,2.034947
-200.0,200,2.176306
-200.0,200,2.278097
-200.0,200,2.375166
-200.0,200,2.514936
-200.0,200,2.608926
-200.0,200,2.694021
-200.0,200,2.83793
-200.0,200,2.962312
-200.0,200,3.119182
-200.0,200,3.252316
-200.0,200,3.404735
-200.0,200,3.55849
-200.0,200,3.672755
-200.0,200,3.762255
-200.0,200,3.847056
-200.0,200,3.941567
-200.0,200,4.048283
-200.0,200,4.163067
-200.0,200,4.28931
-200.0,200,4.390889
-200.0,200,4.498279
-200.0,200,4.601316
-200.0,200,4.711145
-200.0,200,4.811002
-200.0,200,4.939839
-200.0,200,5.054324
-200.0,200,5.153411
-200.0,200,5.245352
-200.0,200,5.365926
-200.0,200,5.459112
-200.0,200,5.555663
-200.0,200,5.650271
-200.0,200,5.740973
-200.0,200,5.838219
-200.0,200,5.925583
-200.0,200,6.022187
-200.0,200,6.128133
-200.0,200,6.219303
-200.0,200,6.319288
-200.0,200,6.41107
-200.0,200,6.500889
-200.0,200,6.593681
-200.0,200,6.683833
-200.0,200,6.774678
-200.0,200,6.865988
-200.0,200,6.956424
-200.0,200,7.045499
-200.0,200,7.150195
-200.0,200,7.247493
-200.0,200,7.3513
-200.0,200,7.44467
-200.0,200,7.569154
-200.0,200,7.680193
-200.0,200,7.779819
-200.0,200,7.89866
-200.0,200,8.026121
-200.0,200,8.133115
-200.0,200,8.231962
