learning_rate,exploration_fraction,gamma,mean_reward,last_100_mean,index,net_arch
0.001,0.1,0.99,-188.52042740414834,-126.7,12,"[128, 128]"
0.0001,0.1,0.99,-183.64176362522963,-143.79,17,"[128, 128]"
0.0005,0.1,0.99,-180.04561824729893,-158.24,5,"[64, 64]"
0.001,0.2,1.0,-175.9994131455399,-166.49,8,"[64, 64]"
0.0005,0.1,0.99,-161.7588996763754,-177.42,14,"[128, 128]"
0.0001,0.1,1.0,-198.94890510948906,-198.75,0,"[64, 64]"
0.0001,0.3,0.99,-199.81212524983346,-199.73,18,"[128, 128]"
0.001,0.1,0.9,-200.0,-200.0,1,"[64, 64]"
0.0005,0.2,0.9,-200.0,-200.0,2,"[64, 64]"
0.0001,0.1,0.8,-199.97266666666667,-200.0,3,"[128, 128]"
0.001,0.2,0.99,-200.0,-200.0,4,"[128, 128]"
0.0005,0.3,0.9,-200.0,-200.0,6,"[64, 64]"
0.0001,0.2,0.99,-199.69241011984022,-200.0,7,"[128, 128]"
0.001,0.1,0.8,-200.0,-200.0,9,"[64, 64]"
0.001,0.2,0.8,-200.0,-200.0,10,"[64, 64]"
0.001,0.1,0.9,-199.94533333333334,-200.0,11,"[128, 128]"
0.001,0.3,0.99,-200.0,-200.0,13,"[128, 128]"
0.0005,0.2,0.99,-199.87066666666666,-200.0,15,"[128, 128]"
0.0005,0.3,0.99,-200.0,-200.0,16,"[128, 128]"
