Step,Reward,Optimal action (%)
1,-0.041849714737995515,0.086
2,0.010709496281885448,0.1035
3,0.03961588720872265,0.1095
4,-0.027405814527837826,0.105
5,0.025681731258582217,0.1075
6,0.0007524404512536618,0.1075
7,3.679475951755884e-05,0.104
8,-0.011007995324373885,0.087
9,-0.05434082554261742,0.1035
10,0.04262463835462217,0.117
11,-0.023295489360864598,0.097
12,-0.017090694859695887,0.1005
13,-0.06322313286481272,0.087
14,-0.003966462113543094,0.1005
15,-0.024507712166278117,0.1
16,-0.02370796589968076,0.0915
17,0.026469172943199563,0.0955
18,0.020522452034113334,0.092
19,-0.009192093988831314,0.099
20,-0.05945904098027068,0.0875
21,0.04374181612808801,0.096
22,0.009623158938216176,0.1
23,-0.009175552015732717,0.104
24,-0.018454372166863905,0.094
25,0.055921127973860736,0.1025
26,0.003692515205821211,0.1045
27,0.01582342166699511,0.098
28,0.013465129404525681,0.102
29,-0.013431424953435434,0.1045
30,-0.015092172658197199,0.0955
31,-0.059112323055702534,0.098
32,-0.072671618794691,0.098
33,0.03949010407305658,0.1035
34,0.005771678164056458,0.101
35,-0.022426410714935608,0.1035
36,-0.031202932641521564,0.091
37,-0.025713940331972353,0.1065
38,0.018231865709606544,0.089
39,0.01087079839119409,0.101
40,0.022658889179609187,0.1075
41,-0.05495716375539803,0.103
42,-0.048436578836847564,0.0985
43,-0.014778862714733748,0.104
44,-0.07312177569041432,0.095
45,-0.03657975371693999,0.104
46,0.039750041770685605,0.106
47,0.023602105237614513,0.104
48,0.04556075163524561,0.113
49,-0.015304039868779939,0.097
50,-0.02905255614349044,0.0915
51,-0.02928986292666819,0.0945
52,0.0216595026328813,0.0975
53,0.062225613844276446,0.108
54,0.06043675043999813,0.0995
55,0.028857005622395442,0.101
56,0.01137858608177391,0.109
57,-0.03797603564298479,0.1045
58,0.0048600443975692935,0.1045
59,0.0452919226243086,0.112
60,-0.07517812277739175,0.0995
61,-0.014234655176454431,0.098
62,-0.011243796008363244,0.1095
63,-0.014805160662599267,0.1
64,-0.05480216190374622,0.0895
65,-0.05230146184825709,0.0955
66,-0.011877810463815993,0.0945
67,-0.0021945019044456037,0.0995
68,-0.052220209292027316,0.086
69,0.012709941403364955,0.1055
70,-0.031335350225250656,0.0975
71,-0.054601702409039984,0.098
72,-0.03788746725763543,0.101
73,-0.0047500501196497714,0.0995
74,-0.014136607566687996,0.086
75,-0.047650897423798744,0.096
76,-0.05379946231647354,0.1025
77,-0.010985095006843422,0.1005
78,0.014641150258111775,0.105
79,-0.06487420643288871,0.087
80,-0.025967476370120663,0.103
81,-0.024657115434253814,0.111
82,-0.037430597013449585,0.0935
83,0.0034300184377511925,0.0975
84,0.0013895480579325392,0.0905
85,0.019287532973693882,0.102
86,-0.028032467184803126,0.1045
87,0.04715385480133428,0.112
88,0.06391048269209572,0.099
89,0.04960766710060611,0.0965
90,-0.003334253129520813,0.094
91,-0.005840670100241923,0.1125
92,0.0025834512715225367,0.0995
93,-0.002368650712506285,0.104
94,-0.029109645383993295,0.104
95,-0.030926033694863932,0.107
96,0.023155875506946644,0.1085
97,0.00229617724031376,0.1065
98,-0.018176668596538346,0.102
99,0.011333132430683616,0.1095
100,0.04223101882186896,0.1035
101,-0.006560850730981946,0.1055
102,-0.031685143809929296,0.088
103,0.026380584844392693,0.111
104,-0.10403831887568762,0.0905
105,-0.016563302606125527,0.0965
106,0.03423303452164023,0.1
107,-0.023696045554959033,0.0925
108,0.04288905809393605,0.0965
109,-0.012429265344818249,0.095
110,0.006962264314777116,0.1115
111,-0.044745736680687126,0.0975
112,-0.03226302913863795,0.0905
113,0.004555496133462811,0.0975
114,-0.047754164639967366,0.104
115,-0.008321059601008091,0.098
116,0.03787788508297074,0.107
117,0.009558152141677588,0.103
118,0.010362802837985843,0.1035
119,-0.0030533826997501024,0.111
120,0.02319029295257057,0.097
121,0.04844851872904617,0.1145
122,-0.0015078304905374194,0.0985
123,-0.04052843626417937,0.0935
124,-0.0016857101816301766,0.097
125,-0.015333052458656269,0.105
126,-0.007324095021752151,0.091
127,-0.02482640377598174,0.0985
128,-0.017070747261889677,0.0905
129,-0.004345229237772343,0.0945
130,0.04401581953818615,0.1005
131,-0.017063887710047493,0.1015
132,0.022730190366962878,0.0955
133,0.0036135323152203906,0.107
134,-0.03404432389028756,0.096
135,0.012139295309885842,0.0955
136,-0.02572394315216627,0.1015
137,0.06319101161651694,0.107
138,-0.009921908447206534,0.1005
139,-0.044969259681507646,0.097
140,-0.017598118360561004,0.1025
141,0.047175539491429906,0.114
142,-0.01092054027973695,0.0915
143,-0.03801239171693289,0.093
144,-0.029269844879897408,0.09
145,-0.024323762743995916,0.0925
146,-0.02628495719157395,0.0975
147,0.06698414671408695,0.1085
148,-0.03304738521560949,0.0985
149,-0.016354044600151052,0.0935
150,0.028767710651140196,0.1015
151,-0.05835000066649981,0.0935
152,-0.025366280268229267,0.1015
153,0.014657636496317133,0.104
154,0.03280131952597777,0.0965
155,-0.028805220602204553,0.099
156,-0.03568846945337278,0.09
157,0.050029240069706264,0.1085
158,0.008945694964757472,0.111
159,0.0032280950516870265,0.1005
160,0.0056240903813104,0.098
161,0.04802633779041749,0.0965
162,-0.04248963274276061,0.095
163,0.03488719907664728,0.105
164,-0.020730336003216124,0.096
165,-0.03809351225567743,0.0875
166,-0.01062715484964172,0.104
167,0.026168222971049072,0.107
168,-0.036155076439003425,0.0945
169,-0.039623996366774175,0.096
170,-0.0015595425883895265,0.0975
171,0.04034650220988791,0.1005
172,0.027159146243570072,0.102
173,-0.050085327505282995,0.089
174,0.03650699206061079,0.1025
175,-0.034252261687488635,0.097
176,-0.04407731504003741,0.098
177,-0.0581587165052035,0.087
178,-0.05101302450037638,0.0965
179,-0.007653390776682842,0.099
180,-0.004969554592507352,0.102
181,0.002107753188566652,0.1145
182,-0.014852710695403086,0.09
183,-0.06300868563847754,0.097
184,-0.022217795442406887,0.0925
185,0.002700867814853015,0.0945
186,-0.028524050487474133,0.1075
187,0.04561823124284935,0.103
188,-0.04012693865788452,0.0905
189,0.022290112478466764,0.113
190,0.02779476533221876,0.0985
191,0.013131915010467484,0.1015
192,-0.013147509602605927,0.0905
193,0.0350914392903711,0.0965
194,-0.0012844484625787946,0.098
195,0.018432375034041534,0.097
196,-0.0075409890157493095,0.103
